gps|8|0x18, 0xDB, 0xDB, 0x18, 0x42, 0x3C, 0x81, 0x7E
usb|13|0x08, 0x1C, 0x08, 0x0A, 0x0A, 0x2C, 0x28, 0x18, 0x08, 0x08, 0x1C, 0x1C, 0x08
rf|7|0x01, 0x02, 0x04, 0xFF, 0x04, 0x02, 0x01
ser|7|0x28, 0x2C, 0x2E, 0x28, 0xE8, 0x68, 0x28
bat_unknown|10|0x3C, 0x66, 0x42, 0x00, 0x42, 0x00, 0x42, 0x00, 0x42, 0x66
bat_empty|10|0x3C, 0x66, 0x42, 0x42, 0x42, 0x42, 0x42, 0x42, 0x42, 0x7E
bat_very_low|10|0x3C, 0x66, 0x42, 0x42, 0x42, 0x42, 0x42, 0x42, 0x42, 0x7E
bat_low|10|0x3C, 0x66, 0x42, 0x42, 0x42, 0x42, 0x42, 0x5A, 0x42, 0x7E
bat_med|10|0x3C, 0x66, 0x42, 0x42, 0x42, 0x5A, 0x42, 0x5A, 0x42, 0x7E
bat_high|10|0x3C, 0x66, 0x42, 0x5A, 0x42, 0x5A, 0x42, 0x5A, 0x42, 0x7E
bat_charging|10|0x3C, 0x66, 0x52, 0x4A, 0x4A, 0x52, 0x52, 0x4A, 0x42, 0x7E
sig1|1|0x40
sig2|3|0x40, 0x00, 0x70
sig3|5|0x40, 0x00, 0x70, 0x00, 0x7C
sig4|7|0x40, 0x00, 0x70, 0x00, 0x7C, 0x00, 0x7F
